name,sku,hsn_code,product_type,category_name,brand_name,unit_short_name,batch_no,expiry_date,gst_percent,mrp,dealer_price,customer_price,storefront_row,primary_image,gallery_images,description,additional_info,care_instructions,manufacturer_details,sort_order,is_active,is_visible_to_dealers,is_visible_to_customers
Bio Organic Fertilizer,ROW4-FERT-001,31010099,Fertilizer,Fruits & Vegetables,Bawaskar Tech,kg,FERT-B001,2027-08-06,5,650,520,590,row_4_fruits_vegetables,fertilizer-organic-main.png,fertilizer-organic-gallery-1.png|fertilizer-organic-gallery-2.png,Organic fertilizer for fruit and vegetable crops,Improves soil health and crop growth,Store in dry place away from moisture,Bawaskar Technology,1,1,1,1
NPK 19-19-19 Water Soluble,ROW4-FERT-002,31052000,Fertilizer,Fruits & Vegetables,Bawaskar Tech,kg,FERT-B002,2027-07-31,5,900,720,820,row_4_fruits_vegetables,npk-19-main.png,npk-19-gallery-1.png|npk-19-gallery-2.png,Water soluble NPK fertilizer for fruits and vegetables,Use as per crop advisory,Keep sealed after opening,Bawaskar Technology,2,1,1,1
Micronutrient Mixture,ROW4-FERT-003,31059090,Fertilizer,Fruits & Vegetables,Bawaskar Tech,kg,FERT-B003,2027-06-30,5,780,620,710,row_4_fruits_vegetables,micronutrient-main.png,micronutrient-gallery-1.png|micronutrient-gallery-2.png,Micronutrient mix for healthy plant growth,Suitable for vegetable and fruit crops,Store in cool dry area,Bawaskar Technology,3,1,1,1
Potash Rich Fertilizer,ROW4-FERT-004,31043000,Fertilizer,Fruits & Vegetables,Bawaskar Tech,kg,FERT-B004,2027-05-31,5,850,680,760,row_4_fruits_vegetables,potash-main.png,potash-gallery-1.png|potash-gallery-2.png,Potash fertilizer for fruit quality and crop strength,Use as per recommended dose,Avoid direct sunlight,Bawaskar Technology,4,1,1,1
Vegetable Growth Booster,ROW4-FERT-005,31059090,Fertilizer,Fruits & Vegetables,Bawaskar Tech,ltr,FERT-B005,2027-04-30,12,450,360,410,row_4_fruits_vegetables,growth-booster-main.png,growth-booster-gallery-1.png|growth-booster-gallery-2.png,Liquid growth booster for vegetables,Shake well before use,Keep bottle tightly closed,Bawaskar Technology,5,1,1,1
Neem Based Pesticide,ROW4-PEST-001,38089199,Pesticide,Fruits & Vegetables,Bawaskar Tech,ltr,PEST-B001,2027-08-06,18,580,460,530,row_4_fruits_vegetables,neem-pesticide-main.png,neem-pesticide-gallery-1.png|neem-pesticide-gallery-2.png,Neem based pesticide for fruit and vegetable crops,Spray as per crop advisory,Use safety gloves and mask during spraying,Bawaskar Technology,6,1,1,1
Vegetable Insect Control,ROW4-PEST-002,38089199,Pesticide,Fruits & Vegetables,Bawaskar Tech,ltr,PEST-B002,2027-07-31,18,720,580,660,row_4_fruits_vegetables,insect-control-main.png,insect-control-gallery-1.png|insect-control-gallery-2.png,Pesticide for common vegetable insects,Follow recommended dilution,Keep away from children and animals,Bawaskar Technology,7,1,1,1
Fruit Fly Control,ROW4-PEST-003,38089199,Pesticide,Fruits & Vegetables,Bawaskar Tech,pcs,PEST-B003,2027-06-30,18,350,280,320,row_4_fruits_vegetables,fruit-fly-main.png,fruit-fly-gallery-1.png|fruit-fly-gallery-2.png,Fruit fly control solution for orchards,Install as per field guidance,Do not store with food items,Bawaskar Technology,8,1,1,1
Fungal Disease Control,ROW4-PEST-004,38089290,Pesticide,Fruits & Vegetables,Bawaskar Tech,kg,PEST-B004,2027-05-31,18,640,510,590,row_4_fruits_vegetables,fungal-control-main.png,fungal-control-gallery-1.png|fungal-control-gallery-2.png,Fungicide for fruits and vegetable disease control,Use preventive spray schedule,Store in original packing,Bawaskar Technology,9,1,1,1
Whitefly Control Spray,ROW4-PEST-005,38089199,Pesticide,Fruits & Vegetables,Bawaskar Tech,ltr,PEST-B005,2027-04-30,18,690,550,630,row_4_fruits_vegetables,whitefly-control-main.png,whitefly-control-gallery-1.png|whitefly-control-gallery-2.png,Spray for whitefly control in vegetable crops,Use only recommended dose,Wear protection during spraying,Bawaskar Technology,10,1,1,1
